ensgene,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
PHF14,695,502,754,328,976,799,595,493
PHF19,852,682,859,417,563,569,701,683
PHF2,1024,863,1091,543,1058,1207,908,956
PHF20,1601,1390,1668,937,1915,1973,1411,1238
PHF20L1,1188,1168,1337,782,1752,1790,1000,1147
PHF21A,1411,1015,1541,928,1769,2123,1259,1234
PHF21B,0,0,0,0,0,0,0,0
PHF23,879,757,849,459,1262,1089,737,569
PHF24,2,3,7,8,8,3,11,7
PHF2P2,0,0,2,1,0,0,0,0
PHF3,1734,1389,2247,1222,2245,2331,1871,1885
PHF5A,277,265,255,171,296,395,208,227
PHF5CP,0,0,1,0,0,1,0,0
PHF5FP,0,0,0,1,0,0,0,0
PHF5GP,0,0,0,0,0,1,0,0
PHF6,639,530,682,420,656,824,522,476
PHF7,68,56,80,60,85,70,81,88
PHF8,532,550,632,404,679,862,594,712
PHGDH,1851,764,2622,524,1279,603,1903,566
PHGR1,0,0,0,0,0,0,0,0
PHIP,1678,1110,1885,768,2047,1779,1772,1283
PHKA1,220,443,493,490,480,719,330,781
PHKA1-AS1,1,1,0,0,1,0,0,0
PHKA1P1,8,18,28,29,38,41,20,49
PHKA2,321,318,387,245,356,573,322,406
PHKA2-AS1,0,1,0,0,0,2,0,1
PHKB,1535,1056,1832,980,1774,1934,1336,1337
PHKBP1,0,0,0,0,0,0,0,0
PHKBP2,0,0,0,0,0,0,0,0
PHKG1,40,17,38,11,39,39,24,14
PHKG1P1,0,0,0,0,0,0,0,0
PHKG1P2,0,0,0,0,0,0,0,0
PHKG1P3,0,0,0,0,0,0,0,0
PHKG1P4,0,0,0,0,0,0,0,0
PHKG2,229,203,257,158,222,308,185,186
PHLDA1,2864,1247,2799,804,3067,1932,2528,1241
PHLDA2,58,83,69,43,96,187,46,63
PHLDA3,2549,2011,2233,968,1883,2311,2199,1864
PHLDB1,2786,3651,3236,1888,2973,4368,2247,3230
PHLDB2,2105,1431,2608,1083,2483,2345,1523,1216
PHLDB3,192,119,322,75,273,215,239,127
PHLPP1,185,154,317,154,240,229,250,263
PHLPP2,240,229,296,218,342,486,268,401
PHOSPHO1,0,0,0,0,2,1,0,0
PHOSPHO2,35,39,44,63,39,185,27,90
PHOX2A,0,0,0,0,0,0,0,0
PHOX2B,0,0,0,0,0,0,0,0
PHOX2B-AS1,0,0,0,0,0,0,0,0
PHPT1,1118,873,917,370,891,1070,654,515
PHRF1,986,963,946,551,1018,1544,784,957
PHTF1,501,431,505,422,676,986,554,572
PHTF2,924,653,1538,678,1347,1144,1454,1016
PHYH,685,669,833,519,816,912,713,737
PHYHD1,410,343,474,288,399,448,323,378
PHYHIP,66,39,73,34,45,40,64,36
PHYHIPL,0,2,0,1,0,0,0,2
PHYKPL,654,546,866,370,747,896,522,574
PI15,0,3,0,0,0,0,0,1
PI16,21,3,379,55,23,11,256,130
PI3,0,1,0,0,1,0,0,0
PI4K2A,826,557,892,508,990,866,635,632
PI4K2B,461,431,417,286,379,448,425,352
PI4KA,2835,1924,3206,1648,3056,3184,2466,2339
PI4KAP2,843,719,921,420,792,844,592,652
PI4KB,1990,1659,2224,1034,2507,2301,1811,1503
PIANP,282,399,568,422,654,742,323,490
PIAS1,610,512,822,451,727,830,567,588
PIAS2,494,454,696,367,649,752,580,452
PIAS3,820,635,883,453,761,958,647,644
PIAS4,240,279,252,150,314,344,211,252
PIBF1,315,262,382,246,396,538,284,318
PICALM,3342,3169,4042,2968,4534,6355,3121,4029
PICART1,2,5,5,1,4,8,6,8
PICK1,86,60,137,53,70,66,47,63
PID1,1057,1760,1218,940,1296,1842,1134,1975
PIDD1,827,424,689,149,698,655,491,338
PIEZO1,2354,1970,3618,1957,3162,4575,2996,2843
PIEZO1P1,0,0,0,0,0,0,0,0
PIEZO1P2,0,0,0,0,0,0,0,0
PIEZO2,454,52,344,30,305,85,54,9
PIF1,117,149,167,82,153,210,97,119
PIFO,153,41,106,25,94,65,110,53
PIGA,107,146,165,147,88,286,97,190
PIGAP1,0,1,0,0,0,0,0,1
PIGB,225,159,240,163,308,414,233,237
PIGBOS1,66,53,75,43,66,59,51,54
PIGC,253,293,330,264,379,472,300,365
PIGCP1,122,138,135,96,150,222,109,174
PIGCP2,0,0,0,0,0,0,0,0
PIGF,146,129,174,112,140,238,122,142
PIGFP1,17,33,53,33,73,67,30,60
PIGFP2,0,0,0,0,0,0,0,0
PIGFP3,0,0,0,0,0,0,0,0
PIGG,1116,951,1210,722,1188,1573,924,1008
PIGH,139,144,146,100,176,206,147,153
PIGHP1,5,3,3,5,7,4,3,1
PIGK,1210,1077,1533,1052,1395,1582,1060,1384
PIGL,143,87,162,54,128,171,132,152
PIGM,315,208,323,168,318,418,253,258
PIGN,813,721,824,578,825,1075,707,856
PIGO,309,231,423,193,400,462,293,256
PIGP,176,167,230,131,287,304,156,165
PIGPP2,0,0,0,0,0,0,0,0
PIGPP3,0,0,0,0,0,0,0,0
PIGPP4,0,0,0,0,0,0,0,0
PIGQ,731,621,682,369,641,1005,557,730
PIGQP1,0,0,0,0,0,0,0,0
PIGR,0,1,0,0,0,0,0,0
PIGS,931,901,1457,892,1315,1584,941,1120
PIGT,5094,4209,5898,3237,6354,6938,3979,4245
PIGU,262,207,302,188,299,318,230,190
PIGUP1,0,1,0,1,0,1,0,1
PIGV,244,250,401,265,309,395,264,364
PIGX,168,183,196,119,191,270,169,197
PIGY,0,0,0,0,0,0,0,0
PIGZ,207,247,152,109,126,222,135,202
PIH1D1,618,591,689,409,619,939,465,505
PIH1D2,14,13,32,24,39,41,29,21
PIK3AP1,23,31,44,24,155,143,27,21
PIK3C2A,1115,1271,1550,1100,1832,2694,1221,1672
PIK3C2B,232,240,368,138,124,64,170,163
PIK3C2G,0,0,0,0,0,0,0,0
PIK3C3,936,936,1145,727,1181,1884,889,1192
PIK3CA,899,1080,916,908,1080,1591,780,1368
PIK3CB,296,257,366,295,389,580,284,442
PIK3CD,263,339,351,315,368,767,280,618
PIK3CD-AS1,0,0,0,0,0,0,0,0
PIK3CD-AS2,42,26,56,16,61,69,27,31
PIK3CDP1,0,0,0,0,0,0,0,0
PIK3CG,0,0,0,0,0,0,0,0
PIK3IP1,2501,1780,3225,2224,2684,2611,2345,2959
PIK3IP1-DT,2,4,2,3,4,6,1,3
PIK3R1,1716,4988,2268,4053,1592,3485,1732,6634
PIK3R2,0,0,0,0,0,0,0,0
PIK3R3,215,72,487,102,520,171,229,53
PIK3R4,783,618,793,557,820,1026,626,731
PIK3R5,0,0,0,0,1,1,0,0
PIK3R5-DT,0,0,0,0,0,0,0,0
PIKFYVE,1181,1090,1401,963,1526,2068,1146,1563
PILRA,10,22,52,37,36,45,38,45
PILRB,12,20,13,8,18,36,9,20
PIM1,1182,659,1016,259,1307,721,648,470
PIM2,60,50,60,57,45,57,33,50
PIM3,291,300,235,145,248,261,191,226
PIMREG,11,22,14,4,11,16,10,9
PIMREGP1,0,0,0,0,0,0,0,1
PIMREGP2,0,0,0,0,0,0,0,0
PIMREGP3,0,1,0,0,0,0,0,0
PIMREGP4,0,0,0,0,0,0,0,0
PIN1,654,665,757,445,657,901,537,645
PIN1-DT,0,1,2,0,0,0,0,1
PIN1P1,0,0,0,0,0,0,0,0
PIN4,208,169,324,162,331,380,211,194
PIN4P1,1,9,4,5,4,8,5,5
PINCR,2,1,1,0,1,0,1,0
PINK1,911,935,962,650,992,1559,876,1172
PINK1-AS,103,90,114,76,90,132,65,76
PINLYP,71,68,65,47,91,103,78,52
PINX1,49,39,48,35,35,79,37,41
PIP,0,2,4,4,0,0,0,0
PIP4K2A,722,810,691,578,817,867,606,753
PIP4K2C,465,337,475,298,477,502,327,347
PIP4P1,568,548,497,355,559,691,429,541
PIP4P2,342,248,249,210,301,339,304,273
PIP5K1A,1032,1205,1338,1001,1424,2201,941,1233
PIP5K1B,1,1,2,1,0,1,0,0
PIP5K1C,2344,2176,2675,1476,2701,3397,2108,2339
PIP5K1P1,1,0,0,0,0,2,1,0
PIP5K1P2,1,0,0,0,0,0,0,0
PIP5KL1,18,12,27,4,22,17,19,18
PIPOX,10,3,27,12,12,24,10,13
PIPSL,63,70,49,40,55,106,46,53
PIR,185,105,317,126,469,309,132,80
PIRT,0,0,0,0,0,1,1,0
PISD,470,518,528,324,560,851,427,652
PITHD1,502,408,565,365,624,632,488,467
PITPNA,1262,1596,1674,1234,1861,2604,1287,1749
PITPNA-AS1,9,3,9,3,4,15,6,7
PITPNB,1015,1183,1131,841,1270,1700,867,1144
PITPNC1,113,203,174,161,202,419,99,207
PITPNM1,584,681,684,343,835,1092,597,778
PITPNM2,558,591,534,422,393,549,617,695
PITPNM2-AS1,1,1,1,0,2,0,0,0
PITPNM3,35,16,38,16,59,32,41,25
PITRM1,971,1038,1490,968,1699,2051,1202,1400
PITRM1-AS1,15,18,21,7,20,27,6,11
PITX1,160,112,91,30,14,21,191,121
PITX2,8,13,4,5,2,2,15,16
PITX3,1,3,1,1,4,8,1,2
PIWIL1,0,0,0,0,0,0,0,0
PIWIL2,6,1,5,2,3,2,3,2
PIWIL3,0,0,0,0,0,1,0,0
PIWIL4,100,93,84,84,83,76,88,161
PJA1,504,377,512,260,504,584,382,327
PJA2,3664,2838,3993,2354,3893,4674,3314,3384
PJVK,63,53,75,43,53,47,58,49
PKD1,4997,5334,5264,3282,4274,9038,4670,7609
PKD1L1,5,3,5,1,6,10,2,1
PKD1L2,214,126,376,69,183,54,147,43
PKD1P1,519,519,526,309,430,795,544,764
PKD1P2,2711,2731,2349,1335,2340,4401,2740,3826
PKD1P3,1515,1486,1443,788,1214,2268,1578,2161
PKD1P4,1732,1663,1566,862,1338,2652,1780,2432
PKD1P5,2656,2633,2549,1433,2547,4741,3040,4231
PKD1P6,1083,1084,987,612,839,1601,931,1424
PKD2,2135,2852,4169,3994,2862,5764,2533,6103
PKD2L1,0,0,0,0,2,1,0,0
PKD2L2,0,1,2,1,2,3,0,0
PKDCC,571,2301,1462,1811,676,1875,810,2688
PKDREJ,30,27,49,15,29,21,26,22
PKHD1,0,0,0,0,0,0,0,0
PKHD1L1,0,0,2,0,0,1,0,0
PKIA,397,129,290,90,649,276,202,77
PKIA-AS1,2,2,0,0,4,0,0,0
PKIB,6,3,10,3,5,1,5,4
PKIG,1616,1276,2089,1203,2163,2270,1913,1963
PKLR,0,1,0,0,0,0,0,0
PKM,25702,17505,29223,12825,31058,33260,19597,13526
PKMP1,4,1,1,1,10,10,1,1
PKMP2,0,0,0,0,1,0,0,1
PKMP3,12,2,12,3,16,6,16,7
PKMP4,1,0,2,1,3,2,1,1
PKMP5,1,0,1,0,1,2,0,0
PKMYT1,9,9,4,2,2,7,8,11
PKN1,2759,2623,3315,1883,2363,3157,2778,3203
PKN2,1447,1256,1463,938,1662,1990,1228,1386
PKN2-AS1,1,0,2,0,1,2,4,1
PKN3,42,48,67,47,51,99,66,95
PKNOX1,424,342,480,187,494,540,333,228
PKNOX2,20,2,31,7,21,6,34,5
PKNOX2-AS1,0,0,0,0,0,0,0,0
PKP1,1,0,0,0,0,1,0,0
PKP2,12,57,9,11,1,14,3,7
PKP3,2,2,6,2,9,11,7,5
PKP4,1061,877,1804,850,1687,2169,1131,1150
PKP4-AS1,4,5,4,3,6,19,4,3
PKP4P1,0,1,0,0,2,0,0,2
PLA1A,9,4,61,32,32,18,60,36
PLA2G10,2,3,4,2,4,6,3,5
PLA2G12A,557,461,714,417,723,740,518,569
PLA2G12AP1,14,5,9,8,10,14,11,12
PLA2G12AP2,0,0,0,0,0,0,0,0
PLA2G12B,0,0,2,0,0,0,0,0
PLA2G15,575,553,817,668,700,1003,631,945
PLA2G1B,3,2,1,1,1,0,2,2
PLA2G2A,48,78,175,213,28,48,32,79
PLA2G2C,0,0,0,0,0,0,0,0
PLA2G2D,0,0,0,0,0,0,0,0
PLA2G2E,0,0,0,0,0,0,0,0
PLA2G2F,0,0,0,0,0,0,0,0
PLA2G3,0,1,1,0,2,0,1,0
PLA2G4A,172,30,148,26,147,26,315,42
PLA2G4B,1,1,2,1,5,3,2,2
PLA2G4C,120,53,99,26,334,206,161,76
PLA2G4C-AS1,0,0,0,0,0,0,0,0
PLA2G4D,0,0,0,0,0,0,0,0
PLA2G4E,0,0,0,0,0,0,0,0
PLA2G4E-AS1,1,0,0,1,1,0,0,0
PLA2G4F,0,0,0,0,0,0,0,0
PLA2G5,4,6,22,15,2,4,36,23
PLA2G6,289,335,327,223,308,339,292,374
PLA2G7,0,0,0,0,0,0,0,0
PLA2R1,958,846,1609,949,1039,1418,1317,1472
PLAA,611,501,741,455,710,721,515,537
PLAAT1,0,2,2,1,0,1,1,1
PLAAT2,0,1,0,2,0,0,2,0
PLAAT3,451,495,533,424,208,252,396,596
PLAAT4,528,354,688,371,463,272,458,260
PLAAT5,46,66,46,42,3,1,12,30
PLAC1,1,0,18,1,4,2,2,1
PLAC8,0,1,3,2,3,1,0,3
PLAC8L1,2,1,3,0,2,1,1,0
PLAC9,553,456,987,490,354,498,615,509
PLAC9P1,3,4,1,1,1,0,0,1
PLAG1,367,355,498,348,516,537,475,575
PLAGL1,1426,949,1548,769,1387,1776,1405,1391
PLAGL2,366,346,348,224,439,579,273,366
PLAT,943,510,888,462,949,1593,776,568
PLAU,699,520,1221,419,621,484,430,328
PLAUR,389,349,502,240,340,561,406,397
PLB1,39,112,72,113,63,114,58,219
PLBD1,45,28,42,26,38,34,47,43
PLBD1-AS1,1,0,0,1,0,3,0,1
PLBD2,2304,1769,2297,1103,2173,3430,2079,2526
PLCB1,335,174,316,105,474,304,333,221
PLCB1-IT1,0,0,0,0,0,0,0,0
PLCB2,4,2,5,0,4,2,2,2
PLCB2-AS1,0,0,0,0,0,0,0,0
PLCB3,705,776,741,419,739,1101,691,711
PLCB4,434,494,674,538,662,1765,297,438
PLCD1,694,581,754,451,630,911,519,730
PLCD3,2373,2031,2463,1321,2339,2482,2467,2711
PLCD4,133,103,193,79,222,168,105,94
PLCE1,230,280,410,288,222,338,334,530
PLCE1-AS1,0,1,2,16,0,22,1,9
PLCE1-AS2,0,0,0,0,0,0,0,0
PLCG1,1540,1378,1577,836,1912,2224,1403,1434
PLCG1-AS1,3,6,2,0,6,9,4,7
PLCG2,13,54,19,21,7,27,6,19
PLCH1,0,1,5,2,4,6,1,0
PLCH1-AS1,0,0,0,0,0,0,0,0
PLCH1-AS2,0,0,0,0,0,1,0,0
PLCH2,3,2,4,3,2,3,3,4
PLCL1,387,583,404,304,432,360,279,450
PLCL2,302,258,331,182,297,328,292,345
PLCL2-AS1,0,0,0,0,0,0,0,0
PLCXD1,195,190,127,65,185,170,159,143
PLCXD2,6,4,6,3,4,10,6,2
PLCXD2-AS1,0,0,0,0,0,0,0,0
PLCXD3,1,20,3,7,4,157,11,33
PLCZ1,0,0,0,0,0,0,0,0
PLD1,881,585,1213,455,1613,870,543,519
PLD2,793,677,857,470,763,814,656,743
PLD3,5154,4041,8242,4186,7666,8270,5801,5725
PLD4,4,3,6,2,3,2,5,2
PLD5,2,9,2,4,8,22,31,151
PLD6,26,17,37,22,23,32,20,28
PLEC,14409,20687,22097,18325,10466,26827,15168,32849
PLEK,0,1,4,0,2,3,3,1
PLEK2,6,5,6,3,3,12,4,7
PLEKHA1,546,594,654,486,730,1019,605,760
PLEKHA2,902,927,949,628,846,1157,717,1061
PLEKHA3,304,397,445,355,454,572,309,415
PLEKHA3P1,22,27,21,19,29,48,21,12
PLEKHA4,1361,658,1464,715,1402,1327,1853,1069
PLEKHA5,1499,1105,1784,926,2218,1721,1275,1178
PLEKHA6,474,193,921,205,1441,1483,649,277
PLEKHA7,2,5,5,2,8,6,6,7
PLEKHA8,401,499,350,378,498,765,313,604
PLEKHA8P1,37,32,44,25,42,59,39,32
PLEKHB1,18,6,18,11,22,19,13,13
PLEKHB2,1263,1249,1735,1069,1711,2063,1184,1247
PLEKHD1,3,1,4,2,1,2,0,0
PLEKHF1,589,826,534,443,381,485,391,748
PLEKHF2,158,163,177,148,165,227,148,191
PLEKHG1,735,453,707,256,437,381,528,422
PLEKHG2,830,835,1110,587,1322,2178,813,847
PLEKHG3,256,184,273,119,238,453,253,248
PLEKHG4,359,140,375,58,391,160,367,173
PLEKHG4B,1,0,2,0,0,2,1,0
PLEKHG5,136,62,170,56,273,215,206,115
PLEKHG6,7,12,4,3,11,19,5,5
PLEKHG7,0,0,1,0,0,1,0,0
PLEKHH1,19,12,9,1,14,18,11,6
PLEKHH2,479,513,1079,735,656,1086,1031,1451
PLEKHH3,463,481,497,200,405,449,366,344
PLEKHJ1,449,523,426,328,454,805,437,514
PLEKHM1,1701,1386,1735,1018,2154,2138,1462,1699
PLEKHM1P1,617,657,684,428,663,823,538,898
PLEKHM2,3293,3065,3502,2283,3814,4428,2947,3805
PLEKHM3,132,102,177,71,151,252,119,181
PLEKHN1,19,9,13,6,17,19,9,14
PLEKHO1,636,732,630,497,837,1381,508,637
PLEKHO2,4554,4617,6765,3261,6067,7115,3567,3726
PLEKHS1,2,0,1,0,0,1,0,0
PLET1,0,0,0,0,2,0,0,0
PLG,4,3,6,1,4,3,1,2
PLGLA,20,26,29,21,44,41,21,20
PLGLB1,35,49,78,49,60,88,58,58
PLGLB2,27,29,51,25,41,68,47,39
PLGRKT,214,228,208,149,209,238,203,185
PLIN1,4,3,1,2,10,3,2,8
PLIN2,2279,2752,2725,1922,5162,4194,2830,3964
PLIN3,2622,2501,2805,1342,2096,2859,2009,2417
PLIN4,45,40,39,17,132,95,111,62
PLIN5,0,6,0,0,0,1,1,1
PLK1,50,44,49,25,41,49,46,26
PLK2,597,240,1101,280,935,597,461,251
PLK3,254,154,234,100,224,249,221,188
PLK4,29,16,43,11,27,18,25,23
PLK5,6,2,3,0,3,5,1,3
PLLP,0,1,4,1,0,0,0,0
PLLPP1,0,0,0,0,0,0,0,0
PLN,2,0,2,1,8,56,4,3
PLOD1,6546,4382,8088,4250,7100,9509,6142,5752
PLOD2,2280,1365,2814,942,4050,5273,1873,1347
PLOD3,1629,1839,1968,1293,1610,2366,1503,2062
PLP1,13,6,3,3,7,4,12,15
PLP2,459,690,705,496,587,990,604,762
PLPBP,445,448,587,444,580,802,542,596
PLPP1,1431,907,1556,544,1767,776,1862,859
PLPP2,92,54,67,32,17,15,52,30
PLPP3,28304,13330,46009,12125,32395,19816,40647,20199
PLPP4,30,7,23,6,11,8,35,13
PLPP5,529,312,727,354,685,741,588,516
PLPP6,139,107,169,129,165,202,117,122
PLPP7,206,162,102,57,292,348,156,177
PLPPR1,0,0,0,0,0,0,0,0
PLPPR2,1028,915,1103,513,1234,1535,788,724
PLPPR3,18,17,24,21,27,52,22,14
PLPPR4,57,9,68,7,110,49,45,3
PLPPR5,1,0,4,0,3,1,0,1
PLRG1,1389,1262,1370,830,1239,1545,1040,1042
PLS1,6,2,20,4,16,8,8,7
PLS1-AS1,0,0,0,0,0,0,0,0
PLS3,6022,5116,9972,6613,6468,11051,6435,6909
PLS3-AS1,1,9,5,8,1,5,1,4
PLSCR1,1033,981,892,684,1145,1276,982,1005
PLSCR2,2,0,0,2,0,1,0,1
PLSCR3,5,1,1,0,0,2,3,0
PLSCR4,1665,1939,2308,1882,2124,3660,1731,2777
PLSCR5,0,0,0,0,0,0,1,0
PLSCR5-AS1,0,0,0,0,0,0,0,0
PLTP,8434,5808,8477,4048,9018,8921,5043,3923
PLUT,0,0,0,0,0,0,0,0
PLVAP,0,0,0,0,1,0,0,0
PLXDC1,674,133,796,291,950,461,560,242
PLXDC2,793,1031,870,1166,503,481,645,3312
PLXNA1,2950,2266,3689,1812,2083,3000,3155,3519
PLXNA2,238,187,495,138,251,191,246,219
PLXNA3,1648,1285,1652,695,1923,2477,1411,1367
PLXNA4,150,584,140,449,518,5496,75,702
PLXNB1,2542,3860,3689,3160,2757,5830,2148,4389
PLXNB2,14218,8718,11481,4945,12701,14748,9666,8442
PLXNB3,115,116,117,56,130,259,53,47
PLXNC1,4004,3067,5209,2839,7044,8987,2813,2993
PLXND1,4077,4260,3651,1649,5387,5992,2718,2809
PM20D1,1,3,6,1,0,1,1,2
PM20D2,326,406,371,342,356,620,346,530
PMAIP1,71,81,83,54,144,94,88,114
PMCH,6,0,0,0,2,1,3,0
PMCHL1,0,0,0,0,0,0,0,0
PMCHL2,0,0,0,0,0,0,0,1
PMEL,26,31,23,9,8,18,24,19
PMEPA1,209,79,155,43,393,271,84,33
PMF1,104,88,130,73,146,123,120,88
PMF1-BGLAP,0,0,0,0,0,0,0,0
PMFBP1,3,7,7,8,3,6,5,4
PML,1465,1357,1581,1025,1369,2485,1205,1442
PMM1,567,544,581,388,585,782,425,603
PMM2,125,132,174,116,216,338,147,161
PMM2P1,0,0,0,0,0,0,0,0
PMM2P2,0,0,0,0,0,0,0,0
PMP2,0,0,0,0,0,0,0,0
PMP22,7809,5300,8802,3933,9759,10145,6175,5966
PMPCA,712,699,763,453,820,1157,596,663
PMPCAP1,0,0,0,0,0,0,0,0
PMPCB,914,829,1000,703,1024,1102,831,999
PMS1,327,453,384,349,397,725,391,451
PMS2,341,224,407,196,384,390,304,243
PMS2CL,231,218,293,146,324,340,232,206
PMS2P1,59,45,83,58,86,97,70,77
PMS2P11,3,3,0,0,0,0,1,0
PMS2P12,1,0,1,0,0,3,1,0
PMS2P3,82,80,110,42,100,141,84,94
PMS2P4,22,18,28,14,34,24,20,24
PMS2P5,54,53,68,39,106,110,49,52
PMS2P6,4,9,8,11,12,7,10,6
PMS2P7,46,53,84,52,80,102,42,47
PMS2P9,2,1,0,0,0,0,1,0
PMVK,353,311,386,217,310,361,322,270
PNCK,9,10,8,1,19,17,12,9
PNISR,3335,2781,3909,2055,4748,4335,3418,3130
PNKD,489,481,455,237,381,434,375,357
PNKDP1,0,0,0,0,0,0,0,0
PNKP,437,303,391,153,386,476,291,220
PNLDC1,2,0,1,0,0,1,0,1
PNLIP,0,0,0,0,0,0,0,0
PNLIPP1,0,0,0,0,0,0,0,0
PNLIPRP1,0,0,0,0,0,0,0,0
PNLIPRP2,0,0,0,0,0,0,0,0
PNLIPRP3,0,0,1,0,2,0,0,0
PNMA1,933,794,1001,610,1108,1277,893,865
PNMA2,601,816,1183,756,375,785,264,638
PNMA3,18,10,16,4,15,11,14,3
PNMA5,0,0,0,0,1,0,0,0
PNMA6A,100,59,80,34,72,84,93,47
PNMA6B,0,0,0,0,0,0,0,0
PNMA6E,0,1,0,0,0,0,0,0
PNMA6F,0,0,0,0,0,0,0,0
PNMA8A,473,374,180,83,65,90,213,213
PNMA8B,107,77,102,48,17,31,69,88
PNMT,0,0,0,2,0,0,0,4
PNN,1615,1537,1860,1120,2163,2484,1459,1512
PNO1,112,194,149,142,201,396,110,143
PNOC,0,0,1,0,0,0,0,0
PNP,69,109,60,56,45,76,55,86
PNPLA1,1,2,2,1,1,5,1,6
PNPLA10P,0,0,0,0,0,0,0,0
PNPLA2,1163,2200,1275,1380,1279,3088,936,2426
PNPLA3,148,151,85,44,215,276,23,40
PNPLA4,119,140,175,86,203,221,141,143
PNPLA4P1,0,0,0,0,0,0,0,0
PNPLA5,8,6,5,3,64,37,0,0
PNPLA6,1140,1097,1529,927,1440,1899,956,1281
PNPLA7,114,165,155,108,114,141,169,215
PNPLA8,840,1075,854,746,962,1234,683,1234
PNPO,115,115,180,107,178,180,140,118
PNPP1,0,0,0,0,0,0,0,0
PNPT1,336,377,411,271,481,675,316,317
PNPT1P1,0,0,0,1,2,0,1,0
PNPT1P2,0,0,0,0,0,0,0,0
PNRC1,1983,2287,2104,1893,2304,2830,1677,2785
PNRC1-DT,0,0,2,0,0,0,0,0
PNRC2,1532,1766,1660,1303,1724,2630,1322,1832
PNRC2P1,65,77,58,46,96,110,39,66
POC1A,49,40,57,28,59,49,28,36
POC1B,225,190,254,170,270,310,202,277
POC1B-AS1,3,3,5,1,3,7,1,1
POC1B-GALNT4,0,0,0,0,0,0,0,0
POC5,104,72,101,57,109,89,89,74
PODN,10112,7371,14130,5457,10717,8620,8994,8077
PODNL1,136,133,462,183,532,793,230,317
PODXL,4,1,15,6,16,12,15,13
PODXL2,43,34,39,11,33,23,37,27
POF1B,0,0,0,0,0,0,0,0
POFUT1,2147,1716,2810,1488,2236,2885,2058,2144
POFUT2,1610,1306,2067,1141,2283,2583,1589,1474
POGK,841,807,837,599,851,1101,719,879
POGLUT1,220,237,238,202,318,320,244,280
POGLUT2,266,219,344,178,334,295,233,202
POGLUT3,2843,2330,2808,1773,1477,1989,2228,2467
POGZ,1274,934,1557,782,1674,1773,1228,1064
POLA1,290,228,278,112,233,273,221,249
POLA2,192,139,217,99,156,177,168,152
POLB,132,75,140,75,175,164,101,89
POLD1,159,112,135,45,159,172,110,87
POLD2,1137,993,1235,575,1223,1485,760,740
POLD2P1,1,0,3,0,0,0,0,0
POLD3,414,287,453,229,516,551,369,342
POLD4,93,169,133,109,117,206,92,150
POLDIP2,1496,1545,1607,964,1754,2301,1133,1256
POLDIP3,1925,1531,2012,991,1923,2110,1582,1515
POLE,378,414,453,275,379,445,450,512
POLE2,26,19,38,6,32,20,15,20
POLE3,389,349,532,347,472,609,382,385
POLE4,253,214,292,175,286,438,221,228
POLG,789,845,843,447,968,1337,659,836
POLG-DT,2,0,3,1,1,1,4,2
POLG2,160,144,145,83,141,149,108,104
POLH,915,619,1127,414,957,859,837,709
POLH-AS1,5,5,4,0,5,5,2,4
POLHP1,1,0,0,0,1,0,0,0
POLI,637,539,651,424,680,837,593,641
POLK,524,517,633,405,661,779,503,545
POLL,391,305,484,285,403,451,355,353
POLM,402,369,515,338,381,482,293,424
POLN,63,60,44,22,54,30,57,36
POLQ,23,13,25,14,24,13,33,27
POLR1A,1045,938,1353,873,1233,2000,1027,1083
POLR1B,269,218,319,161,299,396,301,278
POLR1C,179,189,169,100,207,286,152,143
POLR1D,897,762,954,582,1048,985,889,1006
POLR1E,530,493,483,220,470,425,432,400
POLR1F,295,301,354,222,337,471,276,308
POLR1G,17,17,21,11,29,59,14,27
POLR1H,67,71,58,24,56,61,78,53
POLR2A,5671,6207,8500,4840,8103,9430,5706,6374
POLR2B,2435,2020,2534,1475,2746,3279,2060,2053
POLR2C,852,835,904,584,963,1420,736,804
POLR2CP1,0,2,0,0,0,0,0,0
POLR2D,202,185,234,146,238,342,204,180
POLR2DP1,0,0,0,0,0,0,0,0
POLR2DP2,0,0,0,0,0,0,0,0
POLR2E,2587,2332,2855,1445,2804,3430,2077,2073
POLR2F,457,465,472,286,441,687,331,421
POLR2G,625,597,686,358,673,810,578,589
POLR2H,446,416,437,209,412,606,310,327
POLR2I,61,53,84,37,74,103,73,82
POLR2J,797,828,1010,529,980,1265,678,682
POLR2J2,44,26,42,22,27,22,44,29
POLR2J3,273,275,544,312,242,326,359,332
POLR2J4,18,22,11,11,26,25,22,22
POLR2K,530,457,515,344,605,753,399,428
POLR2KP1,2,0,1,0,1,0,0,2
POLR2KP2,0,0,0,0,0,0,0,0
POLR2L,2225,2220,2684,1449,2496,3608,1801,2017
POLR2LP1,0,0,0,0,0,0,0,0
POLR2M,846,665,926,604,725,1039,745,763
POLR3A,640,511,677,354,714,873,532,529
POLR3B,248,252,304,168,311,404,202,219
POLR3C,565,503,701,468,805,998,590,631
POLR3D,575,538,655,369,664,841,458,507
POLR3DP1,0,1,0,0,0,0,0,0
POLR3E,460,526,523,329,553,719,386,512
POLR3F,142,128,205,117,191,225,130,133
POLR3G,110,116,189,85,218,212,118,97
POLR3GL,472,498,645,472,589,714,479,598
POLR3GP1,0,0,0,0,0,0,0,0
POLR3GP2,0,0,1,0,0,0,0,0
POLR3H,585,542,659,393,671,981,636,522
POLR3K,45,42,54,47,57,81,45,57
